Nombre,Precio,Precio_Original,Ventas
 Celular Lg Phoenix 3 16gb Ram 1gb 2500mah 5mp Negro Nuevo ,"1,499"," 1,599 ", Reacondicionado 
 Huawei Mate 20 Lite Dual 6.3p 64gb+4ram 20+2 24+2mpx Nuevo ,"5,470",, 190 vendidos 
 Celular Motorola Moto E5 Plus 2gb 16gb Desbloqueado 5000mah ,"2,999"," 4,299 ", 180 vendidos 
 Celular Xiaomi Mi 8 Lite 64gb 4gb Ram Dual Sim 4g Lte ,"5,699"," 6,599 ", 709 vendidos 
 Xiaomi Mi 8 Lite 64gb 4gb Ram Dual Sim Version Global ,"4,649",, 310 vendidos 
 Samsung Galaxy J6 2018 Dual Sim 32gb Camara 13mpx ,"3,699",, 208 vendidos 
 Blu Studio View- Pantalla De 5.5 Hd Y 16gb Memoria Interna ,"1,399",, 153 vendidos 
 Samsung Galaxy S9 Plus 64gb 6gb Ram Libre Nuevo Sellado Msi ,"12,999",, 428 vendidos 
 Motorola Moto G5 Plus 32gb Xt1680 Camara 12mp Sensor Huella ,"3,499",, 106 vendidos 
 Huawei Nova 3 128 Gb + 4gb Ram 4 Camaras 24mpx + Regalo ,"7,299",, 144 vendidos - Distrito Federal 
 Celular Apple Iphone 6s 64gb + Funda Silicon + Audifonos ,"5,699",, 623 vendidos - Chihuahua 
 Nokia 5.1 16 Gb 2 Ram 16 + 8 Mpx 5.5 Huella Sellado Msi ,"2,349",, 104 vendidos 
 Celular Samsung Galaxy J7 2018 5.5 Pantalla 32g 13mp Libre ,"3,149"," 3,499 ", 67 vendidos 
 Xiaomi Redmi 6 32gb+3ram Global Lte 5.4p Cámara Dual 12+5mpx ,"2,720",, 758 vendidos 
 Celular Samsung Galaxy M10 16gb Ram 2gb Nuevo 13mp + 5mp ,"2,567"," 2,853 ", 934 vendidos 
 Huawei Nova 4 Dual Sim 128gb 8gb Ram Triple Camara 20+16+2mp ,"10,799",, 65 vendidos 
 Xiaomi Mi A2 Lite 64+4gb Global 12+5+5mpx Meses ,"3,899",, 487 vendidos 
 Celular Xiaomi Mi 8 Lite 128gb 6gb Ram Dual Sim 4g Lte ,"6,548"," 6,999 ", 275 vendidos 
 Xiaomi Mi 8 Lite 64gb Dual Sim 4gb Ram Camara 24mpx Global ,"4,649",, 95 vendidos 
 Celulares Iphone 7 Plus 32 Gb + Funda Original ,"10,196",, 263 vendidos - Chihuahua 
 Celular Apple Iphone 6 Plus 64gb 4g Lte Liberado Demo ,"6,299"," 7,499 ", 74 vendidos 
 Samsung Galaxy A50 64gb+4ram Dualsim Nuevo 6.4pg ,"6,570",, 162 vendidos 
 Celular Apple Iphone 7 32gb Lightning Reacondiconado 4g Lte ,"5,699"," 9,218 ", 98 vendidos 
" Blu Vivo Xi -pantalla De 5.9 , 32gb Memoria Y 3gb Ram ","2,999",, 72 vendidos 
 Celular Huawei Honor 10 Lite 32gb 3gb Ram 4g Lte ,"4,499",, 50 vendidos 
 Xiaomi Redmi 6 3gb Ram 32gb Rom Dualsim Lte Sellado ,"2,729",, 103 vendidos 
" Motorola G6 Play, 4g Lte 5.7 13mp Lector De Huella+funda ","2,999"," 3,999 ", 325 vendidos 
 Celular Huawei P20 Lite 4g Lte 32gb 4gb Ram 16mp Dual ,"5,299",, 1845 vendidos 
 Celular Motorola Moto E4 16gb 4g Lte Liberado ,"1,664"," 1,899 ", 1465 vendidos 
 Huawei Mate 20 Pro 128 Gb + 6 Gb Nuevo Solo Att Sellado Msi ,"16,499",, 52 vendidos 
 Motorola Moto One 64gb+4ram Dualsim Nuevo Camara Dual ,"4,599",, 171 vendidos 
 Motorola Moto E5 5.7 Huella 2gb Ram 16gb Liberado Mica Y Tpu ,"2,722",, 110 vendidos 
 Nokia 6 Dual Sim 32gb 16mp+8 Lector Huella Nuevos Liberados ,"3,999",, 126 vendidos 
 Celular Motorola Moto E5 Play 4g Lte Liberado Demo ,"2,099",, 237 vendidos 
 Motorola Moto G6 Plus 64gb 4gb Nuevo Sellado Libre Msi ,"4,899",, 469 vendidos 
 Nuevo Celular Barato Huawei Y7 Modelo 2019 32gb 3gb Liberado ,"4,299"," 5,999 ", 59 vendidos 
 Motorola Moto G7 Plus 64gb I 4gb Desbloqueado Sellado Msi ,"5,999"," 6,999 ", 193 vendidos 
 Celular Apple Iphone 6s 64gb + Funda Silicon + Audifonos ,"5,699",, 623 vendidos - Chihuahua 
 Xiaomi Mi 8 Lite 64gb+ 4 Ram Versión Global Nuevo ,"4,499",, 499 vendidos 
 Samsung Galaxy Note 9 6.4p 128+6ram 12.2+12+8mp Nuevo Meses ,"14,845",, 124 vendidos 
 Xiaomi Redmi Note 6 Pro 64gb+4ram Nuevo Global Sellado ,"4,289",, 707 vendidos 
 Samsung Galaxy S9+ Plus Dual Sim 128gb 4g Libre De Fábrica ,"13,599",, 125 vendidos - Quintana Roo 
 Xiaomi Redmi Note 7 Dual 48mpx 64gb/4gb - Global En Español ,"6,090",, 58 vendidos 
 Samsung Galaxy A7 2018 128gb Dual Sim 4gb Ram Triple Camara ,"6,499",, 77 vendidos 
 Blu Studio X8 Hd -pantalla De 5.0 Hd Y Camara Principal 8mp ,"1,099",, 135 vendidos 
 Xiaomi Mi A2 Global Dual 64+4ram 12+20mpx Android 8 ,"3,970",, 775 vendidos 
 Celular Motorola Moto One 4gb 64gb Desbloqueado Usb C Notch ,"4,999"," 7,999 ", 135 vendidos 
 Moto Z3 Play Xt1929-6 64gb 4gb Ram Libre Sellado Nuevo Msi ,"6,989",, 657 vendidos 
 Celular Motorola Moto G5s Plus 32gb + 3gb Ram 2 Camaras 13mp ,"3,514"," 3,699 ", 574 vendidos 
 Motorola Moto One 64 Gb - Blanco Motorola ,"4,999",, 272 vendidos 
 Blu Vivo One Plus 2019 - Pantalla De 6.2 Y Doble Camaras ,"2,499",, 100 vendidos 
 Xiaomi Redmi 6 32gb+3ram L Lte 5.45p Cámaradual 12mpx Meses ,"2,728",, 228 vendidos 
 Samsung Galaxy S10 128gb+8ram G973f Nuevo Dualsim Msi ,"17,899",, 16 vendidos 
 Xiaomi Mi 8 Lite 128gb Dual Sim 6gb Ram Doble Camara 12+5mpx ,"6,499",, 45 vendidos 
 Celular Apple Iphone 6 64gb 4g Lte ,"4,699"," 5,899 ", 423 vendidos 
 Samsung Galaxy Note 9 6.4p 128+6ram 12.2+12+8mp Nuevo ,"14,750",, 210 vendidos 
 Xiaomi Redmi Note 6 Pro 64gb Dual Sim 4gb Ram Camara 20+5mpx ,"4,399",, 348 vendidos 
 Honor 8x 64gb+4ram Dualsim Nuevo 4g Android Sellado 8.1 ,"4,920",, 110 vendidos 
 Xiaomi Redmi Note 6 Pro 64gb+4ram Nuevo Global Sellado Msi ,"4,370",, 227 vendidos 
